Наименование	Код	Артикул	РодительНаименование	РодительКод
"Конструктор ""ГОРОД МАСТЕРОВ"" зоомагазин, с фигурк, кор. АА-2019-R"	УТ000004861	2019АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Велопрогулка, ""Легко собрать"" с фигур., в кор. АА-1851-R"	УТ000004862	1851АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" КАМАЗ: Гоночная каманда с фигур., в кор. КК-5518-R"	УТ000004863	5518КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" КАМАЗ: с солдатами, в кор. КК-7024-R"	УТ000004864	7024КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Военный джип ""Легко собрать"" с фигур., 59 дет., в кор. КК-1832-R"	УТ000004865	1832КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" КАМАЗ: Перевозчик с погрузчиком, с фигур., 154 дет., в кор. КК-5026-R"	УТ000004866	5026КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" КАМАЗ; Ракетная установка с фигурк., в кор. КК-7041-R"	УТ000004867	7041КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Большие кубики: аэропорт, с фигур., 37 дет., в кор. GK-1011-R"	УТ000004868	1011ЖК	Конструкторы блочные	00000000500
"Магнитный конструктор ""ГОРОД МАСТЕРОВ"" Робот, 22 мини детали на блистере, в кор. ХВ-4010-R"	УТ000004869	4010ХВ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Космодром, с фигурк., 133 дет., в кор. АА-8029-R"	УТ000004870	8029АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Аквамир: Аквалангист с акулой , в кор. КК-3301-R"	УТ000004871	3301КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Гонщик с аксесс. ""Легко сложить"" 38 дет., в кор. КК-5004-R"	УТ000004872	5004КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Кафе на улице, с фигур., в кор. BL-2039-R"	УТ000004873	2039ВЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Спортивный автомобиь, с фигур., в кор. КК-5506-R"	УТ000004874	5506КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Спорткар, с фигурк., в кор. АА-5504-R"	УТ000004875	5504АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Димик питомца, с фигурк., ""Легко собрать"", в кор. АА-1838-R"	УТ000004876	1838АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Моя лошадка, с фигурк., в кор. АА-2014-R"	УТ000004877	2014АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Пожарник, ""Легко собрать"", с фигурк., в кор. АА-1824-R"	УТ000004878	1824АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Ветеренарная помощь, с фигурк., 98 дет., в кор. АА-2037-R"	УТ000004879	2037АА	Конструкторы блочные	00000000500
"Магнитный конструктор ""ГОРОД МАСТЕРОВ"" Пушка, 22 мини детали на блистере в кор. ХВ-4007-R"	УТ000004880	4007ХВ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Истребитель, 120 дет., в кор. КК-7006-R"	УТ000004881	7006КК	Конструкторы блочные	00000000500
Конструктор HUNTER Пожарная Машина 220 эл. в коробке	00000000549	67499	Конструкторы блочные	00000000500
Конструктор Город  Мастеров Погрузчик 190 эл. в коробке	00000010701	72868	Конструкторы блочные	00000000500
Конструктор магнитный 58 эл. в коробке	00000010732	М058	Конструкторы магнитные	00000002377
Конструктор Военный Крейсер145 эл. в коробке	00000010766	984183	Конструкторы блочные	00000000500
Конструктор Военный танк 169эл. в коробке	00000010767	984186	Конструкторы блочные	00000000500
Конструктор Военный грузовик с пушкой 258эл. в КОРОБКЕ №PG  200022	00000010768	984181	Конструкторы блочные	00000000500
Конструктор Военный трейлер с Вертолетом 300эл. в коробке	00000010769	984182	Конструкторы блочные	00000000500
Конструктор Армия База 424эл. в коробке	00000010770	22703	Конструкторы блочные	00000000500
Конструктор магнитный 32 эл. в коробке	00000010771	М032	Конструкторы магнитные	00000002377
Конструктор City Herdes-робот герой в прозрачной коробке	00000008788	965720	Конструкторы блочные	00000000500
Конструктор Человек Паук Самолет 50 эл. в коробке	00000008791	383021	Конструкторы блочные	00000000500
Конструктор Человек Паук Мотоцикл 42 эл. в коробке	00000008793	383022	Конструкторы блочные	00000000500
Конструктор Человек Паук Машина 47 эл. в коробке	00000008794	383019	Конструкторы блочные	00000000500
Конструктор Бетмен + Машина в коробке	00000008796	1315829	Конструкторы блочные	00000000500
Конструктор  X-soldiers в банке	00000008797	39498	Конструкторы блочные	00000000500
Конструктор Earth Tutelary в пластиковом глобусе	00000008798	893165	Конструкторы блочные	00000000500
Конструктор  Super Hero в плоской банке	00000008799	950975	Конструкторы блочные	00000000500
Конструктор Косм сражения в коробке	00000008858	509512	Конструкторы блочные	00000000500
Конструктор  Патруль  и человечик в коробке	00000008859	99015	Конструкторы блочные	00000000500
Конструктор Город Мастеров ВИНКС Спальня Блум 28 эл. в коробке ВВ-6723-R	00000008891	79461	Конструкторы блочные	00000000500
Конструктор СУХОПУИНЫЕ ВОЙСКА 717эл. в коробке	00000002264	В6900	Конструкторы блочные	00000000500
Конструктор Камаз Бетономешалка 231эл. в коробке	00000009647	72776	Конструкторы блочные	00000000500
